iter	Passed	Remaining
0	2	214
1	4	209
2	6	202
3	7	186
4	9	183
5	11	182
6	13	180
7	15	178
8	17	176
9	19	173
10	21	171
11	23	170
12	25	167
13	26	165
14	28	163
15	30	161
16	32	159
17	34	156
18	36	154
19	38	154
20	40	152
21	42	150
22	44	148
23	46	146
24	48	144
25	49	142
26	51	140
27	53	138
28	55	136
29	57	134
30	59	132
31	61	130
32	63	128
33	65	126
34	67	125
35	69	123
36	71	121
37	73	119
38	75	117
39	77	115
40	79	113
41	80	110
42	82	108
43	84	106
44	85	104
45	87	103
46	89	101
47	91	99
48	93	97
49	96	96
50	98	94
51	100	92
52	103	91
53	105	89
54	106	87
55	109	86
56	111	84
57	114	82
58	116	80
59	118	78
60	119	76
61	122	74
62	124	73
63	126	71
64	128	69
65	130	67
66	132	65
67	134	63
68	136	61
69	138	59
70	140	57
71	142	55
72	144	53
73	145	51
74	147	49
75	149	47
76	151	45
77	153	43
78	155	41
79	157	39
80	159	37
81	161	35
82	162	33
83	165	31
84	167	29
85	169	27
86	171	25
87	172	23
88	174	21
89	177	19
90	178	17
91	180	15
92	182	13
93	184	11
94	186	9
95	188	7
96	190	5
97	192	3
98	194	1
99	196	0
