iter	Passed	Remaining
0	2	2281
1	5	2968
2	7	2648
3	10	2497
4	12	2499
5	14	2421
6	16	2336
7	20	2528
8	22	2497
9	24	2460
10	26	2421
11	28	2374
12	30	2331
13	33	2376
14	37	2477
15	40	2489
16	42	2469
17	44	2436
18	46	2406
19	50	2473
20	52	2458
21	54	2431
22	56	2412
23	58	2387
24	60	2364
25	63	2396
26	67	2423
27	69	2418
28	71	2410
29	73	2391
30	75	2369
31	81	2453
32	83	2435
33	85	2416
34	86	2393
35	88	2378
36	90	2360
37	96	2432
38	98	2416
39	99	2399
40	102	2386
41	103	2372
42	105	2358
43	111	2418
44	115	2450
45	117	2436
46	119	2423
47	121	2407
48	128	2487
49	130	2473
50	132	2459
51	134	2444
52	144	2579
53	148	2604
54	160	2758
55	162	2745
56	164	2729
57	167	2719
58	175	2803
59	180	2829
60	185	2848
61	189	2862
62	191	2849
63	193	2832
64	195	2813
65	199	2825
66	211	2947
67	222	3054
68	233	3149
69	238	3171
70	241	3155
71	258	3327
72	265	3370
73	269	3368
74	488	6019
75	513	6248
76	532	6386
77	553	6536
78	556	6484
79	606	6970
80	625	7091
81	659	7378
82	676	7471
83	680	7416
84	698	7520
85	741	7880
86	755	7931
87	791	8198
88	834	8544
89	840	8493
90	905	9050
91	913	9019
92	965	9419
93	968	9330
94	970	9243
95	972	9155
96	978	9107
97	980	9028
98	982	8944
99	984	8863
100	986	8783
101	989	8707
102	998	8696
103	1000	8621
104	1003	8552
105	1009	8514
106	1011	8443
107	1013	8372
108	1015	8302
109	1017	8232
110	1019	8164
111	1025	8134
112	1028	8072
113	1030	8012
114	1032	7948
115	1034	7886
116	1036	7823
117	1039	7767
118	1041	7710
119	1047	7684
120	1051	7642
121	1055	7594
122	1057	7542
123	1074	7588
124	1080	7560
125	1084	7521
126	1086	7466
127	1088	7414
128	1090	7364
129	1099	7357
130	1101	7305
131	1103	7256
132	1105	7205
133	1111	7181
134	1114	7140
135	1117	7097
136	1119	7052
137	1121	7006
138	1123	6962
139	1125	6916
140	1128	6872
141	1129	6825
142	1131	6781
143	1137	6761
144	1139	6721
145	1142	6682
146	1144	6640
147	1146	6598
148	1155	6598
149	1157	6559
150	1159	6518
